section,organ,variable,role,modeling_form_or_weighting,baseline_missingness_denominator,n,missing_n,missing_percent,model_handling,missing
Outcome and time scale,Liver,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,209450,0,0,Required for model fitting,"0/209,450 (0.0%)"
Outcome and time scale,Liver,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,209450,0,0,Required for model fitting,"0/209,450 (0.0%)"
Outcome and time scale,Liver,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,209450,0,0,Required for model fitting,"0/209,450 (0.0%)"
Outcome and time scale,Lung,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,52577,0,0,Required for model fitting,"0/52,577 (0.0%)"
Outcome and time scale,Lung,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,52577,0,0,Required for model fitting,"0/52,577 (0.0%)"
Outcome and time scale,Lung,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,45425,0,0,Required for model fitting,"0/45,425 (0.0%)"
Outcome and time scale,Lung,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,45425,0,0,Required for model fitting,"0/45,425 (0.0%)"
Outcome and time scale,Lung,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,45425,0,0,Required for model fitting,"0/45,425 (0.0%)"
Outcome and time scale,Lung,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,45425,0,0,Required for model fitting,"0/45,425 (0.0%)"
Core covariates,Heart,Age at listing,Adjustment covariate,"Continuous, linear",All primary cohort person waitlist episodes for organ,83624,6,0.007174973691763131,Complete cases required for model fitting,"6/83,624 (0.0%)"
Core covariates,Heart,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),All primary cohort person waitlist episodes for organ,83624,0,0,Missing values modeled as an explicit Missing stratum,"0/83,624 (0.0%)"
Core covariates,Heart,Listing year,Temporal adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,83624,0,0,Complete cases required for model fitting,"0/83,624 (0.0%)"
Core covariates,Heart,Race,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,83624,368,0.4400650530948053,Missing values modeled as an explicit Missing category,"368/83,624 (0.4%)"
Core covariates,Heart,Sex,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,83624,0,0,Missing values modeled as an explicit Missing category,"0/83,624 (0.0%)"
Core covariates,Kidney,Age at listing,Adjustment covariate,"Continuous, linear",All primary cohort person waitlist episodes for organ,643225,0,0,Complete cases required for model fitting,"0/643,225 (0.0%)"
Core covariates,Kidney,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),All primary cohort person waitlist episodes for organ,643225,0,0,Missing values modeled as an explicit Missing stratum,"0/643,225 (0.0%)"
Core covariates,Kidney,Listing year,Temporal adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,643225,0,0,Complete cases required for model fitting,"0/643,225 (0.0%)"
Core covariates,Kidney,Race,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,643225,1005,0.15624392708616736,Missing values modeled as an explicit Missing category,"1,005/643,225 (0.2%)"
Core covariates,Kidney,Sex,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,643225,0,0,Missing values modeled as an explicit Missing category,"0/643,225 (0.0%)"
Core covariates,Liver,Age at listing,Adjustment covariate,"Continuous, linear",All primary cohort person waitlist episodes for organ,238078,0,0,Complete cases required for model fitting,"0/238,078 (0.0%)"
Core covariates,Liver,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),All primary cohort person waitlist episodes for organ,238078,0,0,Missing values modeled as an explicit Missing stratum,"0/238,078 (0.0%)"
Core covariates,Liver,Listing year,Temporal adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,238078,0,0,Complete cases required for model fitting,"0/238,078 (0.0%)"
Core covariates,Liver,Race,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,238078,890,0.37382706507951174,Missing values modeled as an explicit Missing category,"890/238,078 (0.4%)"
Core covariates,Liver,Sex,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,238078,0,0,Missing values modeled as an explicit Missing category,"0/238,078 (0.0%)"
Core covariates,Lung,Age at listing,Adjustment covariate,"Continuous, linear",All primary cohort person waitlist episodes for organ,52613,0,0,Complete cases required for model fitting,"0/52,613 (0.0%)"
Core covariates,Lung,Listing transplant center,Center adjustment,Stratified baseline hazard using strata(listing_center),All primary cohort person waitlist episodes for organ,52613,0,0,Missing values modeled as an explicit Missing stratum,"0/52,613 (0.0%)"
Core covariates,Lung,Listing year,Temporal adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,52613,0,0,Complete cases required for model fitting,"0/52,613 (0.0%)"
Core covariates,Lung,Race,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,52613,230,0.4371543154733621,Missing values modeled as an explicit Missing category,"230/52,613 (0.4%)"
Core covariates,Lung,Sex,Adjustment covariate,Categorical indicator variables,All primary cohort person waitlist episodes for organ,52613,0,0,Missing values modeled as an explicit Missing category,"0/52,613 (0.0%)"
Organ-specific baseline severity,Heart,Heart US-CRS proxy,Baseline severity adjustment,"Continuous, linear composite score",Heart person waitlist episodes,83624,6,0.007174973691763131,Derived from available baseline fields after median imputation of laboratory components,"6/83,624 (0.0%)"
Organ-specific baseline severity,Kidney,Diabetes,Kidney baseline severity adjustment,Binary indicator,Kidney person waitlist episodes,643225,0,0,Constructed from SRTR diabetes fields,"0/643,225 (0.0%)"
Organ-specific baseline severity,Kidney,Dialysis duration,Kidney baseline severity adjustment,"Continuous, linear years",Kidney person waitlist episodes,643225,0,0,Set to 0 when no dialysis time indicator was 1,"0/643,225 (0.0%)"
Organ-specific baseline severity,Kidney,No dialysis time,Kidney baseline severity adjustment,Binary indicator,Kidney person waitlist episodes,643225,0,0,"Constructed as 1 for no dialysis, missing dialysis date, or 0 dialysis duration","0/643,225 (0.0%)"
Organ-specific baseline severity,Liver,Liver MELD/PELD score,Baseline severity adjustment,"Continuous, linear score",Liver person waitlist episodes,238078,10,0.004200304102016986,"Initial MELD/PELD used, with last MELD/PELD used when initial value was unavailable","10/238,078 (0.0%)"
Organ-specific baseline severity,Lung,Lung LAS/CAS component proxy,Baseline severity adjustment,"Continuous, linear composite score",Lung person waitlist episodes,52613,0,0,Derived from baseline lung components; missing numeric components set to 0 in proxy score,"0/52,613 (0.0%)"
Organ-score components,Heart,Durable LVAD,Heart US-CRS proxy component,Binary indicator,Heart person waitlist episodes,83624,0,0,Constructed from CAND_THOR and candidate VAD brand codes; missing/no qualifying device coded 0,"0/83,624 (0.0%)"
Organ-score components,Heart,Heart BNP,Heart US-CRS proxy component,Median-imputed log1p continuous input to proxy score,Heart person waitlist episodes,83624,54325,64.96340763417201,Raw missingness shown; missing values median-imputed within heart cohort for score calculation,"54,325/83,624 (65.0%)"
Organ-score components,Heart,Heart BNP type,Heart US-CRS proxy component,Categorical BNP vs NT-proBNP indicator,Heart person waitlist episodes,83624,0,0,RiskStratDataHR type used when available; statjust-only BNP values coded unknown and assigned the BNP coefficient,"0/83,624 (0.0%)"
Organ-score components,Heart,Heart albumin,Heart US-CRS proxy component,Median-imputed continuous input to proxy score,Heart person waitlist episodes,83624,14900,17.817851334545107,Raw missingness shown; missing values median-imputed within heart cohort for score calculation,"14,900/83,624 (17.8%)"
Organ-score components,Heart,Heart bilirubin,Heart US-CRS proxy component,Median-imputed log1p continuous input to proxy score,Heart person waitlist episodes,83624,49174,58.80369271979336,Raw missingness shown; missing values median-imputed within heart cohort for score calculation,"49,174/83,624 (58.8%)"
Organ-score components,Heart,Heart eGFR,Heart US-CRS proxy component,Continuous input derived with 2021 CKD-EPI creatinine equation,Heart person waitlist episodes,83624,6,0.007174973691763131,Creatinine was median-imputed before eGFR calculation when missing,"6/83,624 (0.0%)"
Organ-score components,Heart,Heart sodium,Heart US-CRS proxy component,Median-imputed continuous input to proxy score,Heart person waitlist episodes,83624,48836,58.399502535157374,Raw missingness shown; missing values median-imputed within heart cohort for score calculation,"48,836/83,624 (58.4%)"
Organ-score components,Heart,Short-term mechanical circulatory support,Heart US-CRS proxy component,Binary indicator,Heart person waitlist episodes,83624,0,0,Constructed from ECMO/RVAD fields; missing/no support coded 0,"0/83,624 (0.0%)"
Organ-score components,Lung,Corticosteroid dependence,Lung LAS/CAS proxy component,Binary indicator,Lung person waitlist episodes,52613,0,0,Missing/no corticosteroid dependence coded 0,"0/52,613 (0.0%)"
Organ-score components,Lung,ECMO use,Lung LAS/CAS proxy component,Binary indicator,Lung person waitlist episodes,52613,0,0,Missing/no ECMO coded 0,"0/52,613 (0.0%)"
Organ-score components,Lung,Lung 6-minute walk distance,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,34576,65.7175983122042,Raw missingness shown; missing values set to 0 for proxy score calculation,"34,576/52,613 (65.7%)"
Organ-score components,Lung,Lung FEV1,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,34872,66.28019690950906,Raw missingness shown; missing values set to 0 for proxy score calculation,"34,872/52,613 (66.3%)"
Organ-score components,Lung,Lung FVC,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,34825,66.19086537547754,Raw missingness shown; missing values set to 0 for proxy score calculation,"34,825/52,613 (66.2%)"
Organ-score components,Lung,Lung PCO2,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,37255,70.80949575200046,Raw missingness shown; missing values set to 0 for proxy score calculation,"37,255/52,613 (70.8%)"
Organ-score components,Lung,Lung cardiac output,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,4801,9.125121167772223,Raw missingness shown; missing values set to 0 for proxy score calculation,"4,801/52,613 (9.1%)"
Organ-score components,Lung,Lung mean pulmonary artery pressure,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,4083,7.760439435120597,Raw missingness shown; missing values set to 0 for proxy score calculation,"4,083/52,613 (7.8%)"
Organ-score components,Lung,Lung resting oxygen,Lung LAS/CAS proxy component,Continuous input to proxy score,Lung person waitlist episodes,52613,35241,66.98154448520327,Raw missingness shown; missing values set to 0 for proxy score calculation,"35,241/52,613 (67.0%)"
Organ-score components,Lung,Ventilator use,Lung LAS/CAS proxy component,Binary indicator,Lung person waitlist episodes,52613,0,0,Missing/no ventilator coded 0,"0/52,613 (0.0%)"
